,x,y,m
159,-161.0,-24.0,3050576.0
160,-161.0,-23.0,4161893.0
161,-161.0,-22.0,4710421.0
162,-161.0,-21.0,1598084.0
163,-161.0,-20.0,5529217.0
164,-161.0,-18.0,1362418.0
165,-161.0,-17.0,4752991.0
166,-161.0,-16.0,1371241.0
167,-161.0,-15.0,4628431.0
168,-161.0,-14.0,4546761.0
169,-161.0,-13.0,5752905.0
170,-161.0,-12.0,1566855.0
171,-161.0,-11.0,4380203.0
172,-161.0,-10.0,2654960.0
173,-161.0,-9.0,8061675.0
174,-161.0,-8.0,4337767.0
175,-161.0,-7.0,7182631.0
176,-161.0,-6.0,4182216.0
177,-161.0,-4.0,2659102.0
178,-161.0,-3.0,5709235.0
179,-161.0,-1.0,5514374.0
180,-161.0,0.0,4851914.0
181,-161.0,1.0,3820429.0
182,-161.0,2.0,2854150.0
183,-161.0,3.0,5509130.0
184,-161.0,4.0,5345227.0
185,-161.0,5.0,3002931.0
186,-161.0,6.0,5663105.0
187,-161.0,7.0,5058054.0
188,-161.0,8.0,5351646.0
189,-161.0,9.0,2714150.0
190,-161.0,10.0,1392216.0
191,-161.0,11.0,4220204.0
192,-161.0,12.0,4298122.0
193,-161.0,13.0,5720398.0
194,-161.0,15.0,5917084.0
195,-161.0,16.0,5592640.0
196,-161.0,17.0,1050099.0
197,-161.0,18.0,3987642.0
198,-161.0,20.0,5870320.0
199,-161.0,21.0,2929697.0
200,-161.0,22.0,2768883.0
201,-161.0,24.0,6288468.0
202,-161.0,25.0,4079045.0
203,-161.0,26.0,1386862.0
204,-161.0,27.0,2635839.0
205,-161.0,28.0,1704744.0
206,-161.0,29.0,5248130.0
207,-161.0,31.0,2611407.0
208,-161.0,32.0,4717103.0
209,-161.0,33.0,1329370.0
210,-161.0,35.0,1335722.0
211,-161.0,36.0,4103097.0
212,-160.0,-41.0,2481923.0
213,-160.0,-40.0,2407831.0
214,-160.0,-39.0,960669.0
215,-160.0,-38.0,1456792.0
216,-160.0,-37.0,2674239.0
217,-160.0,-36.0,2345294.0
218,-160.0,-35.0,3754440.0
219,-160.0,-34.0,2709764.0
220,-160.0,-33.0,2675049.0
221,-160.0,-31.0,7418360.0
222,-160.0,-30.0,2651459.0
223,-160.0,-29.0,2892503.0
224,-160.0,-28.0,4194171.0
225,-160.0,-27.0,1538388.0
226,-160.0,-25.0,4381570.0
227,-160.0,-24.0,4473109.0
228,-160.0,-23.0,3211735.0
229,-160.0,-22.0,3703695.0
230,-160.0,-21.0,9115193.0
231,-160.0,-20.0,5582262.0
232,-160.0,-19.0,5642348.0
233,-160.0,-18.0,2792291.0
234,-160.0,-17.0,4106786.0
235,-160.0,-16.0,4074811.0
236,-160.0,-15.0,3657055.0
237,-160.0,-14.0,2214337.0
238,-160.0,-13.0,1361911.0
239,-160.0,-12.0,5850392.0
240,-160.0,-11.0,8440696.0
241,-160.0,-10.0,2350006.0
242,-160.0,-9.0,1326496.0
243,-160.0,-8.0,4190851.0
244,-160.0,-7.0,1232264.0
245,-160.0,-6.0,3082873.0
246,-160.0,-5.0,8242967.0
247,-160.0,-4.0,6779469.0
248,-160.0,-3.0,2367480.0
249,-160.0,-2.0,3671861.0
250,-160.0,-1.0,4501884.0
251,-160.0,0.0,3268546.0
252,-160.0,1.0,8959583.0
253,-160.0,2.0,2560037.0
254,-160.0,3.0,4492451.0
255,-160.0,4.0,4093184.0
256,-160.0,5.0,1363536.0
257,-160.0,6.0,3914603.0
258,-160.0,7.0,2261921.0
259,-160.0,8.0,3847841.0
260,-160.0,9.0,7456886.0
261,-160.0,10.0,4076072.0
262,-160.0,11.0,4102255.0
263,-160.0,12.0,9070996.0
264,-160.0,13.0,4062729.0
265,-160.0,14.0,5684208.0
266,-160.0,15.0,1598114.0
267,-160.0,16.0,4154019.0
268,-160.0,18.0,4190394.0
269,-160.0,19.0,9184979.0
270,-160.0,20.0,6342796.0
271,-160.0,21.0,5863030.0
272,-160.0,22.0,5131045.0
273,-160.0,23.0,4046961.0
274,-160.0,24.0,2509792.0
275,-160.0,25.0,3303806.0
276,-160.0,26.0,1517810.0
277,-160.0,27.0,11078133.0
278,-160.0,28.0,1543915.0
279,-160.0,29.0,2685030.0
280,-160.0,30.0,4240433.0
281,-160.0,31.0,6624504.0
282,-160.0,32.0,1352060.0
