,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
304,82373,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82373,3.94819,3.31189,125.587,11.6558,22077.2,2604.21,2604.21,0.0238698,0.0178178,0.0136835
305,82374,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82374,0.568234,0.727162,5.33432,0.532782,22054.1,2584.78,2584.78,0.0196088,0.0234546,0.0247942
306,82380,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82380,0.349231,0.003501,0.070595,0.067095,22068.2,2601.31,2601.31,0.00873987,0.00883152,0.00894449
307,82388,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82388,0.0106792,0.001039,0.024972,0.023441,22075.2,2671.79,2671.79,0.00383527,0.00489266,0.00536056
308,82492,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82492,8.17764,5.48205,115.994,10.5822,28237.4,19728.3,19728.3,0.0283947,0.0298515,0.0461175
309,82493,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82493,0.0397733,0.037855,2.88261,0.143976,28499.3,19717.3,19717.3,0.010558,0.013207,0.0209829
310,82494,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82494,0.0169721,0.006937,1.77939,0.043815,28077.6,19830.0,19830.0,0.00687969,0.00698694,0.00922227
311,82495,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82495,0.000554965,0.013412,1.32133,0.058934,28152.4,19976.9,19976.9,0.00661805,0.00598596,0.00645976
312,82496,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82496,0.00431915,0.013586,0.956669,0.022947,28188.8,19698.9,19698.9,0.00621139,0.00862859,0.00993085
313,82607,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82607,4.59713,3.81189,97.0281,6.87551,31308.9,31131.9,31131.9,0.0275706,0.0174531,0.0152015
314,82608,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82608,0.0317659,0.055907,5.20176,0.313335,31207.4,31051.2,31051.2,0.00938727,0.010088,0.012756
315,82609,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82609,0.03361,0.016484,3.12306,0.571557,31203.3,31154.8,31154.8,0.00533893,0.00441976,0.00881658
316,82610,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82610,0.117904,0.032897,3.13682,0.141264,31580.3,31127.4,31127.4,0.00831382,0.00840774,0.00936809
317,82611,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82611,0.0640479,0.027257,2.93348,0.109024,31133.2,31074.6,31074.6,0.00964062,0.0092475,0.0113308
318,82612,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82612,0.0297912,0.01661,0.690694,0.190322,31188.1,31050.9,31050.9,0.00437403,0.00500654,0.0085317
319,82613,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82613,0.00164403,0.003648,1.06978,0.011489,31420.7,30948.5,30948.5,0.00383534,0.00675501,0.00870103
320,82614,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82614,0.000661472,0.002001,0.747146,0.02435,31156.1,30958.8,30958.8,0.0029609,0.00297151,0.00421114
321,82616,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82616,0.023085,0.001351,0.136307,0.134464,31190.8,31135.3,31135.3,0.00137472,0.00104108,0.00134202
322,82623,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82623,0.0474111,0.002819,0.041724,0.038905,31173.9,31119.4,31119.4,0.00178357,0.00304424,0.00382136
323,82810,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82810,0.453468,2.39172,92.8984,10.6135,31371.3,32184.6,32184.6,0.0294215,0.0100341,0.00597842
324,82811,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82811,0.896259,0.642904,17.246,1.08899,31500.6,32324.2,32324.2,0.021139,0.0250396,0.0267977
325,82812,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82812,0.0328399,0.051009,4.85325,0.309759,31516.1,32069.6,32069.6,0.0079383,0.00881444,0.0107581
326,82813,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82813,0.0527973,0.018225,1.88521,0.12802,31377.2,32267.9,32267.9,0.00608223,0.00464083,0.00707018
327,82814,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82814,0.00197326,0.001039,1.3489,0.038968,31101.8,32099.0,32099.0,0.00124004,0.00154685,0.00231253
328,82815,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/82815,0.00595784,0.018499,0.52761,0.017948,31440.6,32234.9,32234.9,0.00802252,0.0138028,0.0183009
329,83028,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83028,0.489812,0.853588,17.3188,0.802378,22124.2,1732.57,1732.57,0.0224234,0.021722,0.0226515
330,83029,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83029,0.0210187,0.13826,1.87395,0.050644,22274.1,1618.96,1618.96,0.0138154,0.0256261,0.0383714
331,83143,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83143,3.14176,4.51367,123.491,10.7037,30974.0,12167.5,12167.5,0.0223361,0.0253228,0.0244752
332,83144,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83144,1.85261,0.422709,1.17188,0.136801,30972.1,12154.6,12154.6,0.0222102,0.0244157,0.0263232
