,met,mass,sfr,id,snapshot
0,0.00125451,9.11873995901804,0.0115163,11915,2
1,0.0016186999999999998,9.31202898624876,0.0139093,4115,3
2,0.00132437,9.680149963991951,0.0640137,7329,4
3,0.00135076,10.05458896949836,0.194754,9007,5
4,0.00210946,10.15929512054554,0.352344,10931,6
5,0.00386545,10.33756094423432,0.428355,9921,7
6,0.00467422,10.488439963523096,0.968533,7889,8
7,0.00566378,10.574634356131005,1.07472,10028,9
8,0.0061781200000000005,10.739666225055624,1.96461,7248,10
9,0.00653138,10.79467920849717,2.08848,7611,11
10,0.00804909,11.055103736995408,4.85985,9733,12
11,0.012894860000000001,11.162697724844902,6.73232,13720,13
12,0.01327555,11.189487081151055,6.24411,14342,14
13,0.01417529,11.224796847008713,7.86389,18722,15
14,0.018765240000000002,11.25851936289614,9.22763,21358,16
15,0.021678799999999998,11.276059306627031,9.18643,24568,17
16,0.022125,11.326088415019319,15.2635,27465,18
17,0.024787,11.343106973840515,19.9071,29987,19
18,0.029165,11.39564386989609,21.0773,32501,20
19,0.0311203,11.457406269583476,30.0563,36586,21
20,0.0353105,11.573918416000236,15.4479,41514,22
21,0.0368659,11.689015601926464,26.2791,50746,23
22,0.0420271,11.765766196318761,29.7362,54730,24
23,0.044334399999999996,11.89985312240568,58.6907,57100,25
24,0.045575500000000005,12.01243244603008,85.402,24481,26
25,0.0548236,12.088611565306019,57.0405,28854,27
26,0.0655417,12.189569959405157,37.6217,14524,28
27,0.0674635,12.091147521825478,31.143,21038,29
28,0.044080999999999995,12.16072729446156,120.43,22031,30
29,0.0465399,12.575918038982397,146.222,23114,31
30,0.0555162,12.697431158447737,108.419,23892,32
31,0.0618644,12.797721506624084,89.9611,25821,33
32,0.0453584,12.933717223055554,859.877,28482,34
33,0.0704633,12.992310045863945,708.272,31724,35
34,0.060391799999999995,13.030069892593968,507.162,32778,36
35,0.0639063,13.07086970660685,273.629,36182,37
36,0.0692083,13.122384713958958,79.2752,35282,38
37,0.0632255,13.182354495908024,37.5057,35487,39
38,0.0590556,13.179344480246403,55.3915,36234,40
39,0.0619178,13.194894750435477,75.3741,39915,41
40,0.058283600000000005,13.33443178630962,88.2802,41060,42
41,0.052724599999999996,13.37148234609593,206.4,42057,43
42,0.0590124,13.383023046295866,181.862,42756,44
43,0.055881,13.391353457669247,223.914,43418,45
44,0.0550336,13.432509144354656,691.284,44830,46
45,0.0534936,13.474613662470055,96.569,37233,47
46,0.0554485,13.495615612737042,83.041,37657,48
47,0.0539108,13.514687325711126,66.8096,40778,49
48,0.053089199999999996,13.529350472297548,107.141,41129,50
49,0.055880900000000004,13.541906681059837,127.325,41500,51
50,0.056962,13.55825529977299,166.663,59767,52
51,0.0585016,13.546867109103154,148.445,62377,53
52,0.0608338,13.556953817153756,150.945,64517,54
53,0.0654588,13.578005070603417,111.55,65777,55
54,0.0671191,13.594034811633364,80.7834,66359,56
55,0.071323,13.602702238701681,68.9924,67673,57
56,0.0720359,13.608852155753105,46.4486,67972,58
57,0.0646311,13.61749158828193,70.264,69760,59
58,0.059606599999999996,13.62441090980934,74.6997,72221,60
59,0.053475800000000004,13.639400606029053,112.308,71726,61
60,0.0519138,13.644885544019337,135.485,72669,62
61,0.0549679,13.642535198302216,191.409,73443,63
62,0.0565031,13.63931529421796,102.483,76775,64
63,0.0553727,13.653343567359878,57.7505,77421,65
64,0.0553598,13.659694767944172,49.4639,76764,66
65,0.0530388,13.664542326908048,48.4304,77279,67
66,0.053095500000000004,13.666667733558544,53.5485,77037,68
67,0.0527272,13.670910847854627,61.3257,76900,69
68,0.0531822,13.671554612698491,74.7115,76436,70
69,0.05437839999999999,13.675007231815067,61.6712,76897,71
70,0.0556001,13.67636415162744,62.1066,77345,72
71,0.0569042,13.6798633177558,62.8825,78073,73
72,0.0594933,13.681577694851695,72.8899,78486,74
73,0.060389399999999996,13.680818961680979,67.0229,79301,75
74,0.0598452,13.683553785691645,49.7718,81864,76
75,0.0581228,13.693679446364593,58.7403,82864,77
76,0.0573175,13.697446599663303,72.3732,83519,78
77,0.057005200000000006,13.703622602749988,53.0406,84250,79
78,0.0560191,13.708312485935247,44.2881,84029,80
79,0.0557136,13.71471549788944,47.5393,82932,81
80,0.056946899999999995,13.718242712087754,45.3309,81802,82
81,0.056913,13.722871606035303,34.655,82076,83
82,0.0567941,13.728345393458214,21.8905,83989,84
83,0.0560634,13.736863268819938,20.5983,88199,85
84,0.055935399999999996,13.74161282041013,17.6207,91110,86
85,0.0550053,13.74928113310297,20.7731,94075,87
86,0.0542358,13.753053784493641,22.4915,96355,88
87,0.054879000000000004,13.757096886045467,23.9422,99738,89
88,0.0547725,13.76484168041867,16.1701,100942,90
89,0.0550736,13.773011229112198,16.3123,101482,91
90,0.055139,13.784621924671656,17.1832,101159,92
91,0.05594110000000001,13.791272425240416,19.2111,100746,93
92,0.057127,13.800670614907666,12.6927,100757,94
93,0.057275099999999995,13.80620601869056,9.92136,99946,95
94,0.0560712,13.811562935239444,10.9875,98924,96
95,0.0581193,13.816620911810242,10.8786,98698,97
96,0.0578863,13.821141848759748,7.70466,97769,98
97,0.0577887,13.82340549107875,7.45007,96762,99
