,slope,met,mass(wrongunits),id,sfr,massplot
3610,-0.009697632843496878,0.006572600454092026,2.5241012573242188,611960.0,0.03464139997959137,10.57126136451859
3611,3.954862946127929e-05,0.003933762665838003,1.5026023387908936,611961.0,0.010063489899039268,10.345998192195127
3612,-0.0030633691293587375,0.016749221831560135,1.1102583408355713,611962.0,0.1079740896821022,10.214579501201376
3613,-0.004908894977346826,0.02354135923087597,29.596744537353516,612241.0,1.037880539894104,11.640398098085265
3614,-0.005324466682028012,0.013772995211184025,21.474308013916016,612388.0,0.9449020028114319,11.50107382368281
3615,-0.0015403023158735746,0.009632036089897156,1.6054439544677734,612389.0,0.12310291081666946,10.374748887039043
3616,-0.007726686909456474,0.007989184930920601,1.1089653968811035,612390.0,0.026295484974980354,10.214074605408912
3617,4.037174504519705e-05,0.0018556478898972273,0.6537456512451172,612391.0,0.0002497512614354491,9.984563852307456
3618,-0.00023487684190760962,0.004030510783195496,0.5316149592399597,612392.0,0.003256280208006501,9.89475203414817
3619,1.19493554165029e-05,0.0014064246788620949,0.45513296127319336,612393.0,0.0009676883346401155,9.82729313341602
3620,-0.004258759999409863,0.02014637365937233,30.00865936279297,612699.0,0.7233672142028809,11.646401989552247
3621,-0.003465090411396201,0.020245205610990524,28.03194808959961,612825.0,1.168969988822937,11.616807342895498
3622,-0.0026661356801531717,0.014351343736052513,22.581241607666016,613006.0,0.8487580418586731,11.522901824976113
3623,-0.0072030437124605984,0.01620095781981945,4.12007474899292,613007.0,0.14996632933616638,10.784060456545213
3624,0.00017038004178690573,0.0018218763871118426,0.8183514475822449,613008.0,0.0005932070780545473,10.082094425137061
3625,-0.0033659685785416365,0.017253566533327103,24.84327507019043,613209.0,1.0978795289993286,11.564364091490619
3626,-0.002032898881179939,0.013114672154188156,1.2681220769882202,613210.0,0.09377264976501465,10.272315159716564
3627,,,,,,9.67021269989284
3628,-0.007847258937581867,0.02686798945069313,0.033808231353759766,613214.0,0.08353882282972336,8.698174287399628
3629,-0.0005200205703461905,0.003627302823588252,0.028993865475058556,613215.0,0.01782659813761711,8.631462942263079
3630,9.492952625078567e-06,0.0027259844355285168,0.006618911866098642,613217.0,0.0013578683137893677,7.989947188779593
3631,-0.005574261366540187,0.013094186782836914,17.165203094482422,613358.0,0.5868582725524902,11.4038036756565
