,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
706,80019,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80019,0.0969494,0.00086,0.079056,0.078196,3141.6,26394.6,26394.6,0.0042236,0.0046451,0.00463155
707,80037,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80037,0.0118638,0.000867,0.014493,0.013626,3154.32,26384.5,26384.5,0.00491551,0.0056536,0.00616635
708,80040,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80040,0.0375632,0.000397,0.012452,0.012054,3159.9,26367.6,26367.6,0.00423428,0.00481717,0.0047646
709,80214,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80214,1.88142,5.06175,142.286,7.33475,22403.2,26540.5,26540.5,0.021577,0.0157979,0.0136032
710,80215,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80215,0.31123,0.206506,11.8802,0.862912,22257.5,26410.3,26410.3,0.0112238,0.0105601,0.0248748
711,80216,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80216,0.0592633,0.027096,4.39675,0.245322,22379.5,26251.2,26251.2,0.0100216,0.00894958,0.0125794
712,80217,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80217,0.0056379,0.005494,0.666724,0.017971,22407.0,26481.4,26481.4,0.00328983,0.00387737,0.00559172
713,80396,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80396,3.06132,2.54075,122.908,13.7213,20650.7,26198.1,26198.1,0.0198586,0.0150755,0.0130005
714,80397,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80397,0.344659,0.336429,8.41129,0.615834,20516.9,26150.5,26150.5,0.013691,0.0136193,0.0230114
715,80398,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80398,0.561695,0.287865,4.19937,0.28629,20583.2,26137.1,26137.1,0.0153787,0.0176422,0.0229836
716,80399,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80399,0.151227,0.060485,2.44994,0.211082,20517.1,26141.2,26141.2,0.0119803,0.0109015,0.0143884
717,80400,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80400,0.00544083,0.013141,2.85097,0.074469,20581.2,26126.0,26126.0,0.00645125,0.00507867,0.00579526
718,80401,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80401,0.0072184,0.01174,1.48376,0.027391,20662.6,26231.0,26231.0,0.00706012,0.00958957,0.0122607
719,80402,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80402,0.00441728,0.008081,1.27524,0.029819,20474.2,26084.5,26084.5,0.00542768,0.00440705,0.00596632
720,80405,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80405,0.243572,0.068481,0.08719,0.018217,20655.6,26196.0,26196.0,0.0333714,0.0593261,0.0627091
721,80406,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80406,0.468615,0.037554,0.081401,0.043355,20651.6,26182.4,26182.4,0.0207843,0.0342867,0.0332171
722,80407,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80407,0.543514,0.025324,0.066569,0.040998,20667.7,26210.2,26210.2,0.0177374,0.0248751,0.027672
723,80411,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80411,0.0515532,0.001618,0.055011,0.053147,20670.0,26162.8,26162.8,0.00479464,0.00521245,0.00567085
724,80412,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80412,0.121178,0.016658,0.039763,0.022858,20639.0,26202.2,26202.2,0.015876,0.0148035,0.0136065
725,80420,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80420,0.119663,0.000547,0.024173,0.023626,20665.3,26186.1,26186.1,0.00844196,0.00838873,0.0085047
726,80422,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80422,0.159663,0.002998,0.022592,0.019594,20643.0,26199.9,26199.9,0.0145425,0.0163607,0.0165762
727,80424,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80424,0.113309,0.002712,0.020041,0.017329,20662.8,26191.8,26191.8,0.0101033,0.0119866,0.0120102
728,80425,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80425,0.0581232,0.001165,0.021113,0.019949,20652.2,26176.1,26176.1,0.00968195,0.00960629,0.00988401
729,80565,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80565,0.000295492,0.000684,1.50879,0.024876,3740.11,2021.27,2021.27,0.00108306,0.00067854,0.00088743
730,80716,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80716,0.464055,5.65619,123.834,3.89869,14095.6,17051.3,17051.3,0.0212751,0.0268954,0.0238192
731,80717,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80717,2.57584,0.998638,35.4847,2.88178,14466.7,17136.9,17136.9,0.014084,0.015121,0.0177444
732,80718,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80718,0.0322961,0.03268,1.20805,0.069342,14147.7,17074.0,17074.0,0.00824833,0.00991416,0.0141538
733,80719,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80719,0.000584488,0.00037,0.844764,0.010076,14038.0,16869.3,16869.3,0.00035368,0.0006341,0.00070084
734,80828,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80828,0.712669,2.9931,110.461,12.1755,20503.2,12023.0,12023.0,0.0255794,0.0350472,0.00609085
735,80829,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80829,1.15251,0.771471,26.0181,2.07109,20784.0,12083.6,12083.6,0.0220741,0.0195154,0.0156251
736,80830,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80830,0.0295876,0.018443,3.2164,0.182213,20595.5,11875.1,11875.1,0.00694099,0.00463355,0.00515119
737,80833,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80833,0.175653,0.000933,0.061945,0.060028,20488.6,12027.4,12027.4,0.00608708,0.00605097,0.00616802
738,80834,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80834,0.0894405,0.002127,0.048922,0.046549,20516.7,12012.1,12012.1,0.00806255,0.0093608,0.00900713
739,80838,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/80838,0.0897619,0.000695,0.031083,0.030389,20521.3,12015.5,12015.5,0.00695464,0.00756139,0.0076866
