,x,y,z,m
0,-1.2419738868438919,1.2363823529659994,0.3414078958410054,2146503.1230556113
1,4.761473487173726,-3.4508330891883454,1.1168609499852058,1883402.0011126997
2,-2.291062283242226,0.4783893821371019,1.0739404064264093,2501493.1452460587
3,4.659579398960123,-4.3364907934042884,0.39465117120671867,2594165.1464173836
4,4.833162073690833,-4.111804811980986,-0.9378540947496474,1602030.7417160699
5,5.323029381377431,-3.9660874884321986,-1.0362958299013374,1459340.8975218025
6,5.372286233944444,-4.2405651446126615,-0.04728184387900791,1580360.1335002377
7,2.253854945387238,0.9758809647238741,3.373638841576505,1242431.6082615405
8,4.92446999864646,-3.564219200347494,-1.5279881631788594,2421717.675003622
9,4.953339435561946,-4.513157084947104,1.4266061742552933,1670590.4272384942
10,5.5847241902686084,-3.7356423108236814,-1.827126689655763,3019341.3424837803
11,5.677155566232312,-4.562049649028533,-0.5137314610901762,2194374.5585823697
12,5.578712180686038,-3.7566998255486572,-1.8275678247638973,362915.4629639483
13,5.973193922657889,-4.599688818090514,-1.2752732715435133,1908879.7021790275
14,2.2438158215858452,0.9764822200401305,3.39311976406015,1635927.1415110147
15,4.59458658679265,8.202909296028976,2.725925452608556,1488114.8152718588
16,5.642171853838952,-4.61682423270125,-1.588178906845262,1129487.9576390877
17,5.977388663966629,-4.624164297165401,-1.3548563664303366,2392319.0643212628
18,4.719164058159212,8.146005018746367,2.69823085495329,1532640.0378918543
19,5.353190509671943,-5.121919789487355,0.49761069230327015,1165023.5267422562
20,4.517793854430818,8.736129018225535,0.8742030523826123,1726128.6432455694
21,5.250500013787754,-4.291436147617463,-1.790760960697817,984809.1784598572
22,5.355935655116667,-4.842456293069716,-1.197029124421586,1301682.329670127
23,4.810134146414654,8.123023481161816,1.832186342359675,1834672.0025874674
24,2.3684918139708375,-0.09411102678131639,3.7465771985717864,1827366.9411428273
25,5.629840246499116,8.419998009699501,2.0949796211816536,1624071.176463206
26,6.048334446297037,8.232473309743746,2.8012489936302494,2335227.3274213076
27,5.234889375327672,-5.256191853207897,-0.1333940257145847,1078177.073005853
28,5.546828517248837,9.820094903374002,0.9527270079324931,2180311.17193667
29,-3.3165964468527416,-2.635712696547415,-3.7325367768855866,2247268.6915924507
30,3.965430966912028,9.892110784920773,1.1755455866057782,2314732.8257826823
31,3.475260949787982,9.42976301304377,1.8629652784507325,2231423.5268692886
32,4.936974785178313,-4.076582041171113,-2.1254304444968346,1973287.102633289
33,4.894563901492098,9.07217201238739,2.2926194437695844,1656917.7595166757
34,5.713644363886751,-5.189803730980513,-1.0577658936395369,1609179.4740142568
35,-2.713696871805652,-2.1392642763567142,-2.389018593196524,2234609.9805352944
