,x,y,m
0,-8.492814156658687,2.056120444351219,1428314.03146764
1,-8.477529583785454,2.0636329206298245,2013465.1484633128
2,-8.475421014428164,4.176385848721417,1594736.4902655997
3,-8.1608103578931,3.54075207669841,1184457.8174142437
4,-8.091369223741491,1.9822042635680752,1404248.593774225
5,-8.058983917236702,12.499846761549707,1899160.6858825048
6,-8.051341364274853,3.1396877658160056,1428333.3647264438
7,-7.85965996846154,0.5179460130318866,1757792.5713599797
8,-7.803600177173371,7.883866577704835,2156188.0462935995
9,-7.789057659591992,5.491199339016019,1045936.26539489
10,-7.277296519450057,2.1321804953596843,1955989.656770336
11,-7.264123330904585,3.463271420637104,1621733.2033972656
12,-7.156543508630018,5.3413527258060345,2196233.046041536
13,-7.1407281784234655,9.606632601041843,2496176.29119062
14,-7.123067620616445,0.7819305958006902,2001918.2037296041
15,-7.09566598670391,12.48479248026505,1521046.1112604078
16,-7.093122826864847,11.669096872766302,2138714.7301408863
17,-7.043184083469606,-3.301160764552545,2216849.3679990727
18,-6.951367456395407,-2.4264862362855397,2173996.680150075
19,-6.922692413828264,4.509172666403648,1847526.1250776902
20,-6.913801460971925,-4.595735917232614,1451191.6171094137
21,-6.771500169469649,7.7774597056180435,1669438.6431481692
22,-6.753642495255532,6.192385295502612,2071392.7889508859
23,-6.747914547312591,3.4475973226412897,1785371.776869787
24,-6.725030658912716,4.97284249472963,1425456.4510857954
25,-6.582067103940385,4.944177202458325,1569381.1292294413
26,-6.543189856496508,-0.6043901423619689,1569364.9142381868
27,-6.454166995732138,0.14867887547812614,1640575.33506171
28,-6.4526632517913525,9.91363752013675,2230271.6388367116
29,-6.4213116424332775,1.0837537314209729,1525065.1423619797
30,-6.4154963096925055,4.9146051254471015,1720212.2502827218
31,-6.398486006955062,-1.6224002722183526,2071720.622812531
32,-6.3738878989312235,8.057615828411242,2161132.1634346885
33,-6.3557244544334335,0.4160787185607477,1521405.2317397937
34,-6.3533032575584265,-2.633041679044609,1520520.8910629153
35,-6.341851359775496,-1.705949895279626,2171284.4110360104
36,-6.340339453863098,12.557015073397515,1599141.0431784713
37,-6.3061180621214925,-4.542064630258922,1576929.4155428985
38,-6.28842381860378,-4.536966141836345,1740038.8190123653
39,-6.252652997235487,-3.2359064344327275,2069084.647311164
40,-6.235255742191014,1.8026581378757995,2115780.495971973
41,-6.186223503464628,10.477086869515723,2377811.6363765937
42,-6.172347131994464,-2.3663598306031037,933476.1541270252
43,-6.153557212262608,12.948588438824475,1455992.3978855037
44,-6.1408208693306685,6.98070556907671,1442780.5061651662
45,-6.0392703173629005,0.2059612411730627,1753846.2998345494
46,-6.024365610891504,14.90609010764695,1926541.5695762
47,-5.9952293425814736,-2.273682121352804,1548434.1669694656
48,-5.980102671630615,8.127797784189289,1428274.325527517
49,-5.878920208846599,-3.450602593472514,1206428.402968283
50,-5.81554092450753,3.901357219184762,2649729.55587187
51,-5.790600849875204,13.794701985643178,1180680.0362787077
52,-5.712519829893912,0.3972376622875251,1676734.6616169172
53,-5.687085702496014,-3.5003870360257285,1737028.2356361197
54,-5.5697380578505085,3.2724826545471157,2471585.633299713
