,Unnamed: 0,id,slope,mass,sfr,url
1,1,1,-0.010681266423572144,11.386159447539072,346.32,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/1/
4,4,4,-0.07315150168694623,10.8779070390327,21.0766,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/4/
15,15,15,-0.04805398000672989,9.916413536701086,5.34034,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15/
16,16,16,-0.060084618804883534,9.821870010933218,11.9249,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/16/
17,17,17,-0.09523515602654696,10.07707863447776,1.6927900000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/17/
19,19,19,-0.04523842631035024,10.098865379162882,1.36297,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/19/
23,23,23,-0.02667419586684061,9.536695218082777,7.32512,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/23/
25,25,25,-0.08954927828577859,9.441316791421439,2.2069900000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25/
26,26,30,-0.0445447434241557,9.397714275884848,23.9182,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/30/
27,27,31,-0.055471387214302,9.796737757256352,0.16567,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31/
28,28,32,0.00029416532080350777,9.415532734372816,1.62133,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/32/
30,30,37,-0.06974866037593164,9.300025482527401,3.79725,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37/
32,32,45,-0.030197001822530826,9.140370333562268,0.9321020000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/45/
33,33,47,0.005164669224681728,9.110944417703957,0.9546899999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/47/
34,34,62,-0.002283308864781564,8.977946252943664,1.2530700000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/62/
37,37,74,-0.012166228064309337,8.876333090435006,0.845939,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/74/
39,39,292,0.006076794959037457,8.491229313465173,0.014865799999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/292/
40,40,521,-0.0007484505182421782,7.691859800426139,0.000401141,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/521/
