,Unnamed: 0,id,slope,mass,sfr,url
3736,3736,621564,-0.003541556369589305,8.468291501435402,0.0910263,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/621564/
3737,3737,621565,-0.00456565363019079,8.458431526730749,0.08826339999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/621565/
3738,3738,621567,0.011407806250656807,8.376223389205485,0.0677826,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/621567/
3745,3745,621983,0.0016562297194647744,8.204304265464849,0.00239845,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/621983/
3748,3748,622158,-0.004671993563047039,8.413159635782842,0.0487673,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/622158/
3749,3749,622159,-0.015393790982820788,8.40579282187324,0.0727661,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/622159/
3763,3763,623124,-0.02073150810111273,8.347987925050505,0.0526115,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/623124/
3764,3764,623125,-0.008559163093239341,8.287882358118392,0.06852230000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/623125/
3784,3784,624759,-0.013048661208125312,8.22514439107708,0.00764207,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/624759/
3788,3788,625186,-0.10953199793360556,9.42662218251658,0.12266500000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/625186/
3789,3789,625187,-0.0015280375123531975,8.398350131568034,0.049794,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/625187/
3798,3798,625558,-0.0805670958471878,8.240889571571149,0.00181424,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/625558/
3806,3806,626055,-0.05154250691453166,8.962414218720868,0.0312157,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/626055/
3820,3820,626778,-0.020279305875289998,8.318034976819618,0.00982093,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/626778/
3821,3821,626779,-0.009513862785171726,8.326460438019355,0.028216900000000003,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/626779/
3822,3822,626780,0.008212494356616862,8.15780293292714,0.015293200000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/626780/
3823,3823,626781,-0.010856555023614378,8.160956606536033,0.0102889,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/626781/
3826,3826,626867,-0.00948785434173094,8.300002990794248,0.05638630000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/626867/
3831,3831,626974,-0.06858045115725653,8.291501773946464,0.000935795,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/626974/
3838,3838,627352,-0.02207901311346759,8.651542395383817,0.11889200000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/627352/
3839,3839,627353,0.003890662823359814,8.359402440729585,0.05874680000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/627353/
3840,3840,627355,-0.007756352861758131,8.269766560525179,0.022361199999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/627355/
3859,3859,628719,-0.08120740516986942,9.08952861624335,0.119051,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/628719/
3860,3860,628721,0.014949736998841381,8.491332739076363,0.11046600000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/628721/
3869,3869,629095,-0.059857545154988326,8.975762080029478,0.0108952,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/629095/
3871,3871,629099,-0.01678840347005783,8.071484113549706,0.00734996,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/629099/
3873,3873,629268,-2.1573553186104988e-05,8.416563369612957,0.0877285,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/629268/
3881,3881,629766,-0.0009098510163152439,8.544562341000175,0.11476900000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/629766/
3882,3882,629769,-0.019256217953535312,8.321075987491295,0.055024,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/629769/
3894,3894,630401,-0.05390207039983275,8.997363422159331,0.010529299999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/630401/
3918,3918,632105,0.020248442770956054,8.409778927878648,0.05848380000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/632105/
3919,3919,632107,-0.02361905902664141,8.375116630751021,0.07843510000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/632107/
3939,3939,633518,-0.041350454223908886,8.996685618586726,0.09734680000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/633518/
3940,3940,633519,-0.11138083988913214,8.678290096570556,0.08235039999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/633519/
3948,3948,633844,-0.02301565225085911,8.413085344495663,0.018014099999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/633844/
3949,3949,633847,-0.03195662111179565,8.260047433401752,0.00865549,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/633847/
3950,3950,633849,-0.012310850359677385,8.229588214394129,0.000113157,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/633849/
3951,3951,633852,-0.027542089932790947,7.984267465881201,0.00131383,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/633852/
3958,3958,634287,0.0009215678474964184,8.713049099496077,0.0038142,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/634287/
3983,3983,635910,-0.01357374321313741,8.327848925869251,0.0109404,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/635910/
3999,3999,636957,,8.006932577245122,0.00026994599999999997,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/636957/
4033,4033,639079,-0.06080164708288593,8.424379055171233,0.06630939999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/639079/
4034,4034,639080,-0.03366365027695558,8.342515924585621,0.0610876,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/639080/
4049,4049,640111,-0.040549097296001424,8.718256204274569,0.0570989,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/640111/
4050,4050,640112,-0.002866710191091526,9.038838193489623,0.00928968,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/640112/
4051,4051,640113,-0.059945146687122634,8.297036751176014,0.0180021,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/640113/
4056,4056,640496,-0.007723617204180354,8.760275089928772,0.17286700000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/640496/
4057,4057,640497,-0.017664250983036256,8.344376608034441,0.0635826,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/640497/
4058,4058,640499,-0.028594130330872106,8.292189337444897,0.036373800000000005,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/640499/
4074,4074,641368,-0.020147322826042702,8.182160657707126,0.012965700000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/641368/
4075,4075,641370,0.017117894003579104,8.055927450745827,0.00363069,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/641370/
4100,4100,642894,-0.006372212922018282,8.600743703219385,0.0370424,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/642894/
4101,4101,642897,-0.007350534232869211,8.295058776099312,0.024380799999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/642897/
4123,4123,643922,-0.07714992671060261,8.957330251974987,0.00366947,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/643922/
4131,4131,644437,-0.0472399964798849,8.777327699753128,0.0232025,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/644437/
4132,4132,644439,-0.047615495839422366,8.230079177380869,0.0287796,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/644439/
4133,4133,644443,0.012514680715561943,8.05468564087948,0.00925708,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/644443/
4145,4145,644883,-0.002893440588033202,8.07028605904676,0.00244515,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/644883/
4151,4151,645214,-0.07137552875961051,9.18264509108909,0.0175273,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/645214/
4152,4152,645218,-0.009030428625439459,8.229096695753343,0.00302331,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/645218/
4153,4153,645219,-0.0024986953561305647,8.126091221535585,0.00880083,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/645219/
4159,4159,645615,-0.06477287026326461,9.795907712831823,0.133914,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/645615/
4163,4163,645742,-0.042901815509579284,9.079731192108436,0.00612037,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/645742/
4169,4169,646102,-0.036890657413304107,8.750933853419847,0.0431744,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/646102/
4170,4170,646106,-0.00404113673590345,8.124602018269082,0.000125851,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/646106/
4184,4184,647191,-0.07212983019871155,9.501035396538645,0.0541182,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/647191/
4193,4193,647769,-0.05300177064046968,9.220087231838326,0.149062,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/647769/
4204,4204,648368,-0.069261812906799,8.672577750428621,0.00423106,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/648368/
4205,4205,648369,0.008031572008701304,8.313043565800664,0.00449908,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/648369/
4240,4240,650514,0.003428660071423395,8.438223891019366,0.0554256,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/650514/
4241,4241,650516,-0.017271550073937103,8.358560893220616,0.07728339999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/650516/
4252,4252,651327,0.009697541798702143,8.255015981479838,0.0320237,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/651327/
4261,4261,651650,-0.005119850765957335,8.247720367008506,0.0220242,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/651650/
4268,4268,652162,-0.00554719540927584,8.21338088480407,0.0179957,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/652162/
4273,4273,652448,0.020114897575174262,8.481056939110879,0.11017300000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/652448/
4280,4280,652863,-0.06292825213258957,9.534120201735329,0.36041,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/652863/
4283,4283,652935,-0.07358232034861277,9.43504053080992,0.100373,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/652935/
4292,4292,653604,-0.07829826275259955,9.49422486491509,0.20625700000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/653604/
4293,4293,653606,-0.03588978889814198,8.683808796771457,0.013572999999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/653606/
4302,4302,654241,-0.007199779294838837,8.16828534897876,0.0049236,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/654241/
4310,4310,654691,-0.04997683501158719,9.372870165178194,0.0418605,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/654691/
4312,4312,654818,0.044331373654926336,8.828614616285414,0.07192080000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/654818/
4345,4345,656799,-0.14951215945263674,9.086355626590821,0.0121152,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/656799/
4359,4359,657572,-0.06279517251886943,8.746795942386916,0.00317284,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/657572/
4366,4366,657884,-0.04857336436091808,8.126953582621388,0.015650999999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/657884/
4378,4378,658335,0.0025696147052116647,7.90243234162397,0.00045446099999999997,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/658335/
4387,4387,658810,-0.0063455013632516275,8.504291633063014,0.0252678,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/658810/
4432,4432,661265,-0.06610776264896592,8.159937499494527,0.00828126,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/661265/
4436,4436,661533,0.01436664288239764,8.417054458580196,0.017942700000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/661533/
4443,4443,661981,-0.1018733367868714,9.400708496304745,0.0580396,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/661981/
4444,4444,661982,0.025315592169814688,8.705953055995806,0.0369545,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/661982/
4446,4446,662108,-0.019315391705258863,8.271107985168587,0.0180836,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/662108/
4523,4523,666689,0.0005714262160194661,8.218411604923615,0.00161467,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/666689/
4537,4537,667473,-0.06340358874535679,9.333364858252231,0.0175321,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/667473/
4579,4579,670003,-0.04199641478846248,9.262306726223002,0.0726574,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/670003/
4581,4581,670005,-0.0563914586221348,8.63565171143579,0.0647831,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/670005/
4613,4613,671483,0.008299697778133773,8.970661418901479,0.014697,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/671483/
4634,4634,672282,-0.05102385459010872,8.996187889448182,0.017815200000000003,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/672282/
4641,4641,672873,-0.027634722677760012,8.857512328886079,0.0100319,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/672873/
4659,4659,674016,-0.0711528235804465,9.391530471036816,0.158631,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/674016/
4667,4667,674461,-0.01368708939540264,8.160425196886488,0.021261900000000004,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/674461/
4672,4672,674650,-0.056549166287461976,9.956876630415213,0.401097,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/674650/
4718,4718,676912,-0.0634275318698474,8.987980906393672,0.00458587,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/676912/
4720,4720,677006,-0.03812227030572135,8.980159763200838,0.00916424,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/677006/
4744,4744,678038,-0.0696018785224033,9.045568960454961,0.058209800000000006,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/678038/
4749,4749,678289,-0.06469267031522287,8.894641734023773,0.0408886,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/678289/
4758,4758,678760,-0.008984162109577198,7.979588963614062,0.000491758,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/678760/
4760,4760,678855,0.01480971109621887,8.578614511778836,0.0238405,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/678855/
4766,4766,679172,-0.06739048186613826,9.268407157272854,0.11512,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/679172/
4770,4770,679409,-0.10161163700297966,8.784146883517815,0.0284121,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/679409/
4786,4786,680099,-0.02463171878597059,8.894805131626024,0.0915358,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/680099/
4815,4815,681239,-0.015670991625341205,8.503628664602926,0.000928262,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/681239/
4817,4817,681333,-0.013573774106171888,8.61595595053848,0.032994199999999994,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/681333/
4847,4847,682714,-0.03882133374345415,9.297489444445104,0.0499338,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/682714/
4853,4853,683041,-0.004483413851318785,8.27141695718566,0.0149402,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/683041/
4882,4882,684590,-0.0621034531567064,9.199065912603832,0.0217856,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/684590/
4908,4908,685662,-0.0024576927307644607,8.052305007374668,0.00245832,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/685662/
4924,4924,686464,0.01789027609571725,8.415727241813089,0.030978700000000005,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/686464/
4945,4945,687725,0.027118359790690882,7.959510354105776,0.00484788,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/687725/
4989,4989,689768,-0.09597308209793608,9.403173226632381,0.147556,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/689768/
4991,4991,689809,-0.044129267744336335,8.912735119944761,0.0141164,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/689809/
5007,5007,690398,-0.01745865731035123,7.974859512125253,0.00572652,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/690398/
5008,5008,690399,-0.01023228905404805,8.018512789352688,0.00455905,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/690399/
5022,5022,691123,-0.08212491462847285,8.326943893973437,0.00530683,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/691123/
5038,5038,691777,-0.0656821984674607,8.82447576155911,0.027082599999999995,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/691777/
5159,5159,697217,-0.03811917664531017,8.24279985320454,0.00152578,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/697217/
5168,5168,697464,-0.044558271299228035,9.018641786802311,0.025625400000000003,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/697464/
5188,5188,698503,0.010249364600790178,8.246668059189053,0.0092579,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/698503/
5214,5214,699614,-0.06671122459390058,9.582535051323537,0.07383610000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/699614/
5272,5272,702041,0.05526934032811203,7.576715657177751,8.36858e-05,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/702041/
5284,5284,702455,-0.017622143054312422,7.850486513660553,0.00361843,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/702455/
5372,5372,706245,-0.07095860568381042,8.695649162562583,0.0310931,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/706245/
5380,5380,706574,0.031099810822125044,8.294636073391983,0.00682542,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/706574/
5446,5446,709227,0.022705947280593497,8.585112553572378,0.012979300000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/709227/
5448,5448,709286,-0.0034546602734948357,8.698739139894379,0.00596595,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/709286/
5472,5472,710178,0.014774091560092106,8.024795088581534,9.82901e-05,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/710178/
5624,5624,716087,-0.001458914082143714,8.36975909933594,0.000288372,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/716087/
5653,5653,717089,-0.05483476930303778,8.798391062199755,0.014099200000000003,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/717089/
5684,5684,718032,-0.05042908187556594,8.411174172666941,0.0243452,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/718032/
5753,5753,720671,-0.03190329275717052,8.09104927862049,0.0036420000000000003,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/720671/
5773,5773,721237,-0.0491736889504143,8.889562208494498,0.00999794,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/721237/
5788,5788,721688,-0.04964519447140425,8.355432911136756,0.00278608,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/721688/
5800,5800,722072,-0.09509615008154834,8.930451032432256,0.00493093,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/722072/
5801,5801,722074,-0.07767421523615092,8.485565518417198,0.0102557,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/722074/
5888,5888,725175,-0.11906044126015992,9.341970747792312,0.03356169999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/725175/
5933,5933,726884,-0.08296801347534055,8.652228349298435,0.00923955,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/726884/
5941,5941,727159,-0.02998321021865813,8.853739873578762,0.0203359,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/727159/
5988,5988,728803,-0.02713234309242996,8.817065652857442,0.00151896,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/728803/
5990,5990,728860,-0.048555333743513306,8.79154500032001,0.00236004,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/728860/
6024,6024,730082,-0.08791587806185608,8.821942470234404,0.00186739,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/730082/
6033,6033,730444,-0.027951285189983688,8.148521050087549,0.0061052,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/730444/
6056,6056,731246,-0.09553898796330502,9.109123098242724,0.020216,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/731246/
6082,6082,732170,-0.06600051870588564,9.29799977499967,0.035122900000000006,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/732170/
