,Unnamed: 0,id,slope,AIC,mass,sfr,url
3724,3724,247167,-0.0009891619957613231,2.0,9.273437014785829,0.0673606,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/247167/
3727,3727,247358,-0.00023973296882037794,1.0,9.13092699250159,0.05416939999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/247358/
3733,3733,247671,-1.146387148870047e-05,1.0,8.168241830317276,0.00138226,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/247671/
3740,3740,247959,-8.109387978644971e-05,1.0,8.62098727905996,0.00101731,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/247959/
3753,3753,248323,-3.036483243044701e-05,1.0,9.132347432743146,0.00620989,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/248323/
3760,3760,248673,-0.003079447710472381,1.0,9.59816379227228,0.143519,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/248673/
3762,3762,248692,-0.000876369205884946,1.0,8.119763032475621,0.0056578999999999996,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/248692/
3764,3764,248922,-0.0013501930878854773,1.0,9.802553568564504,1.27187,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/248922/
3766,3766,248925,-0.000398084691313794,1.0,8.980293960029067,0.0227332,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/248925/
3773,3773,249378,-0.001194734215665149,1.0,8.996200824696123,0.029395400000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/249378/
3774,3774,249379,0.0001634568902954288,1.0,8.993775208184573,0.00733674,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/249379/
3779,3779,249522,-0.00038195167641847636,2.0,9.002238141869732,0.00571186,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/249522/
3785,3785,249754,-0.0003675339361635144,1.0,8.92861111834258,0.00628389,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/249754/
3788,3788,249937,-0.0011568283855974402,2.0,9.188296032990976,1.9166599999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/249937/
3789,3789,249938,-0.0009323319051661574,2.0,9.412078683964836,0.0324105,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/249938/
3790,3790,249939,-0.0004321344322331718,2.0,9.215806024662307,0.0359566,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/249939/
3792,3792,250106,-0.0009239220450655073,1.0,9.65746857166332,0.19220299999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/250106/
3794,3794,250111,-0.00012705165410826884,1.0,8.693524962233747,0.00220275,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/250111/
3800,3800,250302,-1.6441296372269056e-05,1.0,8.916154656254216,0.00345456,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/250302/
3819,3819,251439,-3.86086110686379e-05,1.0,8.868706377071543,0.00450347,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/251439/
3820,3820,251451,1.0730063135240248e-05,1.0,8.191005385125713,0.00115953,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/251451/
3823,3823,251680,-0.0007106646334883529,2.0,9.926152803951249,0.373708,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/251680/
3825,3825,251682,-0.0020520702211761655,1.0,9.45819720420101,0.15928599999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/251682/
3827,3827,251684,-0.0006191701131983999,1.0,9.136693424014519,0.09046439999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/251684/
3828,3828,251685,-0.0006481438283825114,2.0,9.05108128108276,0.0484694,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/251685/
