,Unnamed: 0,id,slope,mass,sfr,url
29,29,42,-0.08243383372641433,10.437840403878706,41.2297,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/42/
32,32,45,-0.051967007082587724,10.366870820629448,9.34735,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/45/
38,38,54,-0.0539485661439603,10.309543419039132,38.1547,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/54/
43,43,66,-0.0717101520157155,10.17244727668347,67.3002,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/66/
59,59,96,-0.05482688139665436,9.909446425000713,3.5472300000000003,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/96/
63,63,101,-0.07189454732549437,9.906866543521655,16.0319,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/101/
67,67,109,-0.060032307450202486,9.874460760387224,12.3713,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/109/
68,68,112,-0.06683801054504103,9.877051858944018,24.8278,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/112/
70,70,118,-0.04879697917838022,9.747264290898519,0.539482,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/118/
71,71,119,-0.0539435252041085,9.820641194268434,41.4935,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/119/
72,72,120,-0.005213200248223693,9.857957138710187,4.9173599999999995,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/120/
74,74,125,-0.051600320161410015,9.708189483358746,0.772051,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/125/
78,78,131,-0.029980333807873905,9.666705025629632,0.21656199999999998,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/131/
79,79,134,-0.06313495958035402,9.700521304553911,1.63168,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/134/
83,83,151,-0.06903944866308452,9.61738948433812,1.82814,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/151/
85,85,162,-0.02417420434363704,9.646399095085453,0.888666,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/162/
87,87,168,-0.036723489817698365,9.523875823196168,0.8388,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/168/
88,88,170,-0.038943173555708116,9.533778960964387,0.942679,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/170/
