,id,mass,sfr,url
0,0,13.306996119082717,267.727,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/0/
1,1,11.386159447539073,346.32,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/1/
2,2,11.524341877498424,108.687,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/2/
3,3,11.561962518293775,36.58,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/3/
4,4,10.877907039032701,21.0766,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/4/
5,5,10.920619448225398,2.39823,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/5/
6,6,10.88746297234924,9.11965,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/6/
7,7,11.100432108597685,6.03432,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/7/
8,8,10.874710643129117,4.61843,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8/
9,9,10.810195398952782,2.01814,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/9/
10,10,10.482760529369756,1.65912,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/10/
11,11,10.571744581784067,0.950969,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/11/
12,12,10.489897060379773,0.916681,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/12/
13,13,10.546748792818564,0.446866,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/13/
14,14,10.531322380203012,0.215664,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/14/
15,15,9.916413536701086,5.34034,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/15/
16,16,9.821870010933216,11.9249,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/16/
17,17,10.07707863447776,1.69279,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/17/
18,18,9.803216730052053,0.112961,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/18/
19,19,10.098865379162884,1.36297,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/19/
20,20,10.159281792332767,0.0517122,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/20/
21,21,10.243686011846417,0.0154785,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/21/
22,22,10.223028089379174,0.0299482,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/22/
23,23,9.536695218082778,7.32512,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/23/
24,24,10.19254309175085,0.0722102,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/24/
25,25,9.441316791421439,2.20699,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/25/
26,30,9.397714275884848,23.9182,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/30/
27,31,9.796737757256352,0.16567,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/31/
28,32,9.415532734372814,1.62133,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/32/
29,34,9.986542985978117,0.0957741,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/34/
30,37,9.3000254825274,3.79725,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/37/
31,42,9.872746218333885,0.00132658,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/42/
32,45,9.140370333562267,0.932102,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/45/
33,47,9.110944417703955,0.95469,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/47/
34,62,8.977946252943664,1.25307,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/62/
35,63,9.648930161058455,0.00282391,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/63/
36,73,9.514565789904069,0.0256287,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/73/
37,74,8.876333090435006,0.845939,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/74/
38,292,8.491229313465173,0.0148658,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/292/
39,8068,13.180111646647108,186.577,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8068/
40,8069,11.755521533769919,24.0742,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8069/
41,8070,11.576139273969892,14.7215,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8070/
42,8071,11.304265186985187,4.5283,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8071/
43,8072,11.054585011731858,4.83526,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8072/
44,8073,11.105497110759782,7.81695,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/8073/
