,id,mass,sfr,url
0,0,14.292666717121172,1.15783,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/0/
1,8,11.663878344401247,3.97566,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/8/
2,11,11.442139865791805,1.0581,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/11/
3,12,11.378420433440773,0.245181,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/12/
4,17,11.364076889667354,0.599846,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/17/
5,18,11.194284461149254,0.257232,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/18/
6,19,11.296972042171662,1.38977,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/19/
7,20,11.191071457616623,0.83169,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/20/
8,28,11.139415653474767,0.0520893,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/28/
9,29,11.086973190625,0.445549,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/29/
10,37,10.961560506463103,0.40965,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/37/
11,44,10.863090941221762,1.05687,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/44/
12,45,10.941824837325239,0.18227,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/45/
13,48,10.97123105024378,0.0915854,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/48/
14,53,10.897932124656355,0.0660767,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/53/
15,56,10.781317497065237,0.105553,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/56/
16,57,10.86726318621075,0.141186,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/57/
17,63,10.735102927365812,0.294705,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/63/
18,67,10.381057229466487,1.05823,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/67/
19,69,10.724938257777165,0.0949106,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/69/
20,73,10.605118556408584,0.057788,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/73/
21,75,10.744182072581856,0.0117419,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/75/
