,slope,met,mass,id,sfr,AICval
4098,-0.00038724649767153544,0.00573026854544878,0.0923355221748352,262068.0,0.006388003006577492,2.0
4099,-0.0019991524273672624,0.0100328978151083,17.5526065826416,262211.0,4.970881462097168,2.0
4100,-0.0007353135803533697,0.002591929631307721,0.3011552393436432,262212.0,0.02007175050675869,1.0
4101,-0.0028619011248169194,0.02367723174393177,18.083864212036133,262317.0,4.697615623474121,2.0
4102,-0.0010762844120859002,0.00893267709761858,0.13911066949367523,262318.0,0.07141587138175964,2.0
4103,-0.00017636293079417695,0.0013144025579094887,0.11386878043413162,262319.0,0.002227876102551818,1.0
4104,-0.001545852227479605,0.00965718924999237,17.926889419555664,262435.0,4.48861837387085,2.0
4105,-0.001439772437509082,0.010005030781030655,0.15605084598064423,262436.0,0.0373714305460453,2.0
4106,-0.00010801413526701005,0.0014019067166373134,0.14573265612125397,262437.0,0.0011869517620652914,2.0
4107,-0.00019212008198979809,0.005342980846762657,0.1009138897061348,262438.0,0.0011251253308728337,2.0
4108,-0.002938514268727064,0.012310146354138851,17.863801956176758,262613.0,9.990419387817383,1.0
4109,0.0004149551583520856,0.016121098771691322,0.038281749933958054,262614.0,0.005822726991027594,1.0
4110,-0.0004924267588946524,0.0037130278069525957,0.07816646248102188,262615.0,0.00413746340200305,1.0
4111,-0.0027676500888773603,0.015480922535061836,18.420574188232422,262671.0,6.010945796966553,2.0
4112,-0.0007756646050436436,0.0047965096309781075,0.18415534496307373,262672.0,0.07588651031255722,2.0
4113,-0.00023253884894305015,0.005662469659000635,0.11901536583900452,262673.0,0.020137842744588852,1.0
4114,-0.0023855130365462163,0.012898251414299011,17.017316818237305,262845.0,5.822814464569092,2.0
4115,-0.00014012281090053247,0.0008123599691316485,0.3569011092185974,262846.0,0.0034352545626461506,2.0
4116,-0.0001730619967403891,0.0009504841291345656,0.30254414677619934,262847.0,0.002203174401074648,1.0
4117,-0.0002364064433803601,0.0011567709734663367,0.2009630799293518,262848.0,0.00475026061758399,1.0
4118,-0.00025300796944092757,0.0,0.10001331567764282,262849.0,0.002532628597691655,1.0
4119,-0.00041713857346522003,0.004203760996460915,0.04061657935380936,262851.0,0.022740960121154785,1.0
4120,-0.0027528956240203684,0.011998589150607586,16.80209732055664,263033.0,6.146263599395752,1.0
4121,-0.00028014111449678654,0.0009447267511859536,0.5148525238037109,263034.0,0.002705728868022561,2.0
4122,-0.00015718998278929785,0.0011899457313120365,0.024293510243296623,263038.0,0.004809977021068335,2.0
4123,-0.0023860925948598335,0.01038409024477005,14.515968322753906,263152.0,2.700831890106201,2.0
4124,-0.0010750410348485673,0.0066284360364079475,2.7814784049987793,263153.0,0.48373210430145264,2.0
4125,-0.0005382622780258267,0.002976221963763237,0.17482565343379974,263154.0,0.0057313526049256325,1.0
4126,-0.0004711437225456056,0.0028332548681646585,0.13750681281089783,263155.0,0.0037706235889345407,1.0
