,Unnamed: 0,id,slope,AIC,met,mass,sfr,url
2477,2477,531343,-0.00034602735068051766,1.0,0.007332249544560909,8.236746355992901,0.020837400000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/531343/
2483,2483,532306,-0.000557121677649688,1.0,0.032626911997795105,8.758780521178211,0.511159,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532306/
2487,2487,532763,-0.0060588998934455905,2.0,0.06546883285045624,9.366606292543976,0.670322,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532763/
2488,2488,532766,-0.009505295218203706,2.0,0.059733472764492035,8.939424916717321,0.22589,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532766/
2489,2489,532768,0.00018040044661413014,1.0,0.02524437196552753,8.817875767418467,0.195306,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532768/
2490,2490,532769,-0.00027379488764209427,2.0,0.021666925400495533,8.631597730282062,0.120755,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532769/
2491,2491,532771,-0.00023924778252352378,1.0,0.02500303648412228,8.58345949581972,0.156666,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532771/
2492,2492,532772,0.00033334287346518173,1.0,0.019646190106868744,8.58265574269351,0.11221700000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532772/
2493,2493,532773,4.390655960141684e-05,1.0,0.017538253217935562,8.58228685812626,0.140927,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532773/
2494,2494,532774,-0.0007818394995439238,1.0,0.02480221912264824,8.557824271668009,0.116979,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532774/
2495,2495,532775,-0.0002605761338656599,1.0,0.020476369187235832,8.46835692529481,0.08500880000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532775/
2496,2496,532777,-0.00042288142581005313,1.0,0.025292016565799717,8.441646208379957,0.0851879,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532777/
2497,2497,532778,-0.0004479251806521535,2.0,0.02750493958592415,8.419135413600918,0.0875832,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532778/
2498,2498,532779,0.0001419881535451753,1.0,0.014713826589286327,8.389994823525566,0.029639799999999997,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532779/
2499,2499,532780,0.0002133671635711393,1.0,0.027977420017123226,8.300388402281074,0.0636811,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532780/
2500,2500,532781,-0.0008698366683777666,1.0,0.021311558783054352,8.254695113728339,0.0303726,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532781/
2501,2501,532785,0.0007232545830035928,1.0,0.024759978055953983,8.136843158144702,0.0272566,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/532785/
