,Unnamed: 0,id,slope,AIC,met,mass,sfr,url
29,29,42,-0.008556308324221558,2.0,0.06506399065256119,10.437840403878706,41.2297,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/42/
32,32,45,-0.006839689595197054,1.0,0.0698520839214325,10.366870820629448,9.34735,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/45/
38,38,54,-0.006072949144314667,1.0,0.05193966999650002,10.309543419039132,38.1547,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/54/
43,43,66,-0.00698377996440791,2.0,0.05431695654988289,10.17244727668347,67.3002,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/66/
59,59,96,-0.0059184866106995635,1.0,0.06575360149145126,9.909446425000713,3.5472300000000003,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/96/
63,63,101,-0.007704188057119816,1.0,0.06051360070705414,9.906866543521655,16.0319,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/101/
67,67,109,-0.007162043546049722,1.0,0.07240317016839981,9.874460760387224,12.3713,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/109/
68,68,112,-0.005014936036196764,1.0,0.04270316287875176,9.877051858944018,24.8278,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/112/
70,70,118,-0.008149920310836166,1.0,0.09437786787748337,9.747264290898519,0.539482,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/118/
71,71,119,-0.0058779920941223205,1.0,0.05206521227955818,9.820641194268434,41.4935,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/119/
72,72,120,-8.217898163011663e-05,2.0,0.014914620667696001,9.857957138710187,4.9173599999999995,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/120/
74,74,125,-0.008386283299503996,1.0,0.08219565451145172,9.708189483358746,0.772051,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/125/
78,78,131,-0.004028270994895124,1.0,0.059494789689779275,9.666705025629632,0.21656199999999998,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/131/
79,79,134,-0.009028522034191244,1.0,0.07581710070371628,9.700521304553911,1.63168,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/134/
83,83,151,-0.008464179555819755,2.0,0.0737743154168129,9.61738948433812,1.82814,http://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/151/
