,id,mass,sfr,url
0,0,14.292666717121172,1.15783,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/0/
1,2,12.365220400807692,0.000985458,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/2/
2,8,11.663878344401247,3.97566,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/8/
3,11,11.442139865791805,1.0581,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/11/
4,12,11.378420433440773,0.245181,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/12/
5,17,11.364076889667354,0.599846,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/17/
6,18,11.194284461149254,0.257232,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/18/
7,19,11.296972042171662,1.38977,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/19/
8,20,11.191071457616623,0.83169,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/20/
9,28,11.139415653474767,0.0520893,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/28/
10,29,11.086973190625,0.445549,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/29/
11,37,10.961560506463103,0.40965,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/37/
12,44,10.863090941221762,1.05687,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/44/
13,45,10.941824837325239,0.18227,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/45/
14,48,10.97123105024378,0.0915854,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/48/
15,53,10.897932124656355,0.0660767,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/53/
16,56,10.781317497065237,0.105553,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/56/
17,57,10.86726318621075,0.141186,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/57/
18,63,10.735102927365812,0.294705,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/63/
19,67,10.381057229466487,1.05823,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/67/
20,69,10.724938257777165,0.0949106,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/69/
21,73,10.605118556408584,0.057788,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/73/
22,75,10.744182072581856,0.0117419,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/75/
23,81,10.668472032814456,0.0390085,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/81/
24,83,10.627380069862838,0.119312,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/83/
25,85,10.595304820070275,0.135126,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/85/
26,88,10.601307627169605,0.0455574,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/88/
27,91,10.492507990776035,0.383211,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/91/
28,99,10.524270946768272,0.0709987,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/99/
29,111,10.489838953287547,0.00622959,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/111/
30,119,10.455386661719942,0.0239514,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/119/
31,132,10.410514481568345,0.00412879,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/132/
32,136,10.356294648864266,0.0206969,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/136/
33,137,10.340049896197305,0.00540717,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/137/
34,141,10.294046855133296,0.0639184,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/141/
35,154,10.275491918888232,0.0306801,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/154/
36,159,10.27351215755801,0.0116061,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/159/
37,164,10.280350087898519,0.0157157,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/164/
