,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
2408,126220,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126220,0.100532,0.023924,5.13127,0.497455,33970.3,4302.96,4302.96,0.00889578,0.00984367,0.0101754
2409,126221,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126221,0.000392796,6.5e-05,0.674878,0.014587,34036.9,4357.22,4357.22,0.0,0.0,0.00017055
2410,126241,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126241,0.0351403,0.017892,5.73152,0.624263,20977.8,26451.5,26451.5,0.00575727,0.00375322,0.00630135
2411,126248,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126248,0.0575668,0.021769,5.99735,0.454647,20911.6,32182.1,32182.1,0.00862036,0.0102439,0.0131055
2412,126250,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126250,0.000518268,0.000189,0.116653,0.004828,20920.1,32179.2,32179.2,0.00088299,0.00228042,0.00183265
2413,126257,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126257,0.22527,0.054672,5.90042,0.469391,6107.3,22462.0,22462.0,0.011423,0.010915,0.0117337
2414,126266,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126266,0.053591,0.042124,5.99879,0.497696,34695.5,16235.9,16235.9,0.00874158,0.00866003,0.0115136
2415,126270,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126270,0.0257399,0.034347,5.37328,0.261855,19667.8,2585.96,2585.96,0.00716041,0.00494597,0.0102644
2416,126284,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126284,0.0868622,0.033993,5.74136,0.608858,25004.8,11633.7,11633.7,0.00964448,0.00711032,0.0108996
2417,126287,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126287,0.0313157,0.028001,6.39347,0.254892,8784.03,24068.9,24068.9,0.00821275,0.00822337,0.0126051
2418,126298,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126298,0.0656238,0.023936,6.28096,0.48158,8676.31,13540.1,13540.1,0.00696517,0.00652593,0.0063547
2419,126303,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126303,0.140625,0.054968,6.3033,0.422226,5708.85,10422.2,10422.2,0.013647,0.0145744,0.0170046
